session_id,endtime,gender,age,residence,ethnicity,ethnicity_rec,device
157539,2025-05-06T18:39:46Z,female,37,ZA,black,Black,phone
157540,2025-05-06T18:19:52Z,female,52,ZA,colored,Black,tablet
157541,2025-05-06T18:15:08Z,male,45,ES,caucasian,White,laptop
157542,2025-05-06T18:17:37Z,male,48,GB,black,Black,laptop
157543,2025-05-06T18:17:21Z,female,22,ZA,black,Black,phone
157544,2025-05-06T18:22:32Z,male,51,GB,white,White,laptop
157545,2025-05-06T18:12:36Z,female,44,CA,caucasian,White,laptop
157546,2025-05-06T18:26:57Z,male,36,MX,hispanic/latino,Latine,laptop
157547,2025-05-06T18:21:44Z,female,25,ZA,african,Black,laptop
157548,2025-05-06T18:17:32Z,female,28,ZA,black,Black,phone
157550,2025-05-06T18:13:16Z,male,25,SI,white,White,desktop
157551,2025-05-06T18:24:50Z,male,21,US,white,White,laptop
157553,2025-05-06T18:26:05Z,female,32,ZA,black,Black,laptop
157555,2025-05-06T18:49:03Z,male,24,PT,white,White,desktop
157556,2025-05-06T18:19:41Z,male,31,SE,white/caucasian,White,desktop
157557,2025-05-06T18:17:59Z,non-binary,46,US,white,White,desktop
157558,2025-05-06T18:20:27Z,male,47,GB,white,White,laptop
157559,2025-05-06T18:24:09Z,female,68,ZA,african,Black,phone
157560,2025-05-06T18:19:34Z,male,29,GB,black,Black,laptop
157561,2025-05-06T18:25:37Z,male,20,ZA,black,Black,desktop
157562,2025-05-06T18:18:49Z,female,45,ZA,black,Black,laptop
157564,2025-05-06T18:27:09Z,male,33,US,white,White,desktop
157567,2025-05-06T18:16:44Z,male,41,CA,indo-fijian,Asian,phone
157569,2025-05-06T18:20:12Z,male,28,US,white,White,laptop
157570,2025-05-06T18:18:35Z,female,57,ES,white,White,desktop
157571,2025-05-06T18:24:23Z,female,30,GB,black,Black,desktop
157574,2025-05-06T18:42:39Z,female,36,CA,caucasian canadian,White,desktop
157575,2025-05-06T18:25:38Z,male,31,IN,indian,Asian,desktop
157576,2025-05-06T18:21:47Z,female,26,ZA,black,Black,laptop
157577,2025-05-06T18:41:04Z,male,30,US,white,White,laptop
157578,2025-05-06T18:22:01Z,male,22,US,black,Black,laptop
157580,2025-05-06T18:25:37Z,male,26,IN,asian,Asian,desktop
157583,2025-05-06T18:25:23Z,female,25,ZA,black,Black,phone
157586,2025-05-06T18:22:20Z,male,37,ZA,white,White,laptop
157587,2025-05-06T18:21:39Z,female,29,ZA,black,Black,phone
157588,2025-05-06T18:20:59Z,female,28,US,asian,Asian,laptop
157590,2025-05-06T18:23:24Z,male,43,GB,white,White,desktop
157591,2025-05-06T18:21:38Z,female,40,ZA,black,Black,phone
157593,2025-05-06T18:21:57Z,female,29,GB,asian,Asian,laptop
157594,2025-05-06T18:25:18Z,female,55,GB,caucasian,White,laptop
157596,2025-05-06T18:28:53Z,male,35,KE,black,Black,laptop
157598,2025-05-06T18:27:18Z,male,31,ZA,black,Black,laptop
157600,2025-05-06T18:24:25Z,male,47,MX,latino,Latine,laptop
157602,2025-05-06T18:24:41Z,male,36,US,hispanic,Latine,laptop
157603,2025-05-06T18:30:51Z,female,47,GB,caribbean,Ambiguous label,laptop
157604,2025-05-06T18:30:00Z,female,33,ZA,black,Black,phone
157605,2025-05-06T18:31:10Z,female,21,US,black,Black,laptop
157606,2025-05-06T18:33:01Z,female,24,ZA,black,Black,laptop
157607,2025-05-06T18:23:51Z,female,50,US,white,White,laptop
157610,2025-05-06T18:42:29Z,female,20,ZA,black,Black,phone
157611,2025-05-06T18:32:23Z,male,54,ZA,black,Black,phone
157612,2025-05-06T18:26:41Z,male,29,CA,caucasian (white),White,desktop
157614,2025-05-06T18:24:39Z,female,20,ZA,black,Black,phone
157615,2025-05-06T18:51:52Z,male,28,US,white,White,laptop
157616,2025-05-06T18:25:15Z,male,44,US,white,White,laptop
157619,2025-05-06T18:36:40Z,male,21,US,white,White,laptop
157621,2025-05-06T18:32:54Z,female,33,ZA,black,Black,laptop
157623,2025-05-06T18:32:58Z,female,46,ZA,black,Black,phone
157624,2025-05-06T18:29:01Z,male,71,PT,white,White,desktop
157625,2025-05-06T18:28:26Z,male,36,PL,white/caucasian,White,laptop
157626,2025-05-06T18:26:00Z,male,37,ZA,indian,Asian,desktop
157627,2025-05-06T18:32:56Z,female,32,US,white,White,laptop
157628,2025-05-06T18:35:59Z,female,31,ZA,black,Black,laptop
157630,2025-05-06T18:26:22Z,male,20,PL,white,White,desktop
157631,2025-05-06T18:28:25Z,female,73,GB,white,White,desktop
157632,2025-05-06T18:31:19Z,male,55,US,white,White,laptop
157633,2025-05-06T18:26:16Z,male,36,CA,white,White,laptop
157634,2025-05-06T18:30:43Z,female,27,ZA,black,Black,laptop
157635,2025-05-06T18:29:01Z,female,50,US,biracial,Mixed,laptop
157637,2025-05-06T18:31:27Z,female,26,ZA,black african,Black,laptop
157638,2025-05-06T18:38:42Z,male,26,ES,white,White,laptop
157639,2025-05-06T18:30:20Z,male,30,PT,white,White,desktop
157641,2025-05-06T18:29:36Z,female,30,ZA,black,Black,laptop
157642,2025-05-06T18:37:57Z,male,20,ZA,african,Black,phone
157643,2025-05-06T19:00:37Z,female,32,US,white,White,laptop
157644,2025-05-06T18:41:12Z,female,26,GB,black,Black,laptop
157645,2025-05-06T18:33:17Z,female,50,PT,white / caucasian,White,desktop
157646,2025-05-06T18:41:14Z,male,26,ZA,black,Black,desktop
157647,2025-05-06T18:39:40Z,male,24,US,white,White,laptop
157648,2025-05-06T18:35:02Z,female,50,GB,asian,Asian,laptop
157649,2025-05-06T18:28:56Z,male,31,US,hispanic,Latine,desktop
157650,2025-05-06T18:40:24Z,female,28,IT,"white, eastern european",White,laptop
157652,2025-05-06T18:33:17Z,female,21,SK,white,White,laptop
157653,2025-05-06T18:39:26Z,female,31,ZA,black,Black,phone
157654,2025-05-06T18:39:14Z,female,47,ZA,african,Black,desktop
157655,2025-05-06T18:32:05Z,female,42,US,black/white,Mixed,laptop
157656,2025-05-06T18:37:25Z,male,66,ZA,black,Black,laptop
157657,2025-05-06T18:41:40Z,male,63,US,hispanic,Latine,laptop
157660,2025-05-06T18:58:28Z,male,24,US,white,White,laptop
157661,2025-05-06T18:47:18Z,male,24,ZA,black,Black,phone
157663,2025-05-06T18:35:39Z,female,45,US,white,White,laptop
157664,2025-05-06T18:37:56Z,female,23,ZA,black,Black,tablet
157665,2025-05-06T18:49:23Z,female,23,ZA,black,Black,laptop
157667,2025-05-06T19:04:21Z,female,33,US,caucasian,White,laptop
157668,2025-05-06T18:32:48Z,male,37,US,black,Black,desktop
157669,2025-05-06T18:42:36Z,male,29,IT,white,White,phone
157671,2025-05-06T18:54:20Z,male,24,CA,black,Black,desktop
157672,2025-05-06T18:35:05Z,female,25,PL,white,White,laptop
157675,2025-05-06T18:33:32Z,male,51,US,white,White,laptop
157676,2025-05-06T18:38:34Z,male,37,AR,hispanic/latino,Latine,laptop
157678,2025-05-06T18:39:56Z,female,25,ZA,black african,Black,phone
157679,2025-05-06T18:36:28Z,male,27,US,white,White,laptop
157682,2025-05-06T18:35:46Z,female,32,ZA,white,White,phone
157683,2025-05-06T18:35:50Z,male,27,ZA,black,Black,phone
157684,2025-05-06T18:38:59Z,male,30,GB,caucasian,White,laptop
157685,2025-05-06T18:38:18Z,male,18,GB,white,White,laptop
157686,2025-05-06T18:46:05Z,male,30,US,white,White,laptop
157687,2025-05-06T18:42:54Z,male,32,US,hispanic,Latine,desktop
157688,2025-05-06T18:41:54Z,male,23,GB,black,Black,laptop
157690,2025-05-06T18:43:00Z,female,22,KE,black,Black,laptop
157692,2025-05-06T18:34:44Z,male,58,US,white,White,desktop
157694,2025-05-06T18:37:55Z,male,25,US,black,Black,laptop
157696,2025-05-06T18:47:07Z,female,23,ZA,black,Black,laptop
157698,2025-05-06T19:13:58Z,male,33,GB,carribean,Ambiguous label,phone
157701,2025-05-06T19:04:02Z,male,27,PL,white,White,desktop
157702,2025-05-06T18:38:45Z,male,38,US,white,White,laptop
157704,2025-05-06T18:36:27Z,female,28,ZA,black,Black,desktop
157705,2025-05-06T18:49:01Z,female,22,ZA,black,Black,desktop
